stagingArea	sender	vehicleType	c_ijv
a3	s082	v20	249
a3	s083	v00	188
a3	s083	v20	364
a3	s084	v00	199
a3	s084	v20	385
a3	s085	v00	254
a3	s085	v20	492
a3	s086	v00	238
a3	s086	v20	460
a3	s087	v00	294
a3	s087	v20	569
a3	s088	v00	176
a3	s088	v20	340
a3	s089	v00	210
a3	s089	v20	407
a3	s090	v00	110
a3	s090	v20	213
a3	s091	v00	106
a3	s091	v20	206
a3	s092	v00	183
a3	s092	v20	353
a3	s094	v00	140
a3	s094	v20	271
a3	s095	v00	163
a3	s095	v20	316
a3	s096	v00	180
a3	s096	v20	348
a3	s097	v00	267
a3	s097	v20	516
a3	s098	v00	93
a3	s098	v20	181
a3	s099	v00	295
a3	s099	v20	571
a3	s100	v00	119
a3	s100	v20	231
a3	s101	v00	133
a3	s101	v20	257
a3	s102	v00	74
a3	s102	v20	143
a3	s103	v00	98
a3	s103	v20	190
a3	s104	v00	278
a3	s104	v20	538
a3	s105	v00	288
a3	s105	v20	556
a3	s106	v00	101
a3	s106	v20	195
a3	s108	v00	273
a3	s108	v20	528
a3	s109	v00	164
a3	s109	v20	317
a3	s110	v00	219
a3	s110	v20	424
a3	s111	v00	133
a3	s111	v20	257
a3	s112	v00	606
a3	s112	v20	1172
a3	s114	v00	99
a3	s114	v20	192
a3	s117	v00	176
a3	s117	v20	342
a3	s118	v00	181
a3	s118	v20	351
a3	s119	v00	74
a3	s119	v20	144
a3	s120	v00	170
a3	s120	v20	330
a3	s121	v00	212
a3	s121	v20	410
a3	s122	v00	493
a3	s122	v20	953
a3	s123	v00	99
a3	s123	v20	192
a3	s124	v00	195
a3	s124	v20	378
a3	s127	v00	283
a3	s127	v20	548
a3	s130	v00	217
a3	s130	v20	420
a3	s131	v00	122
a3	s131	v20	235
a3	s132	v00	301
a3	s132	v20	583
a3	s133	v00	89
a3	s133	v20	172
a3	s134	v00	521
a3	s134	v20	1008
a3	s135	v00	384
a3	s135	v20	742
a3	s138	v00	498
a3	s138	v20	964
a3	s139	v00	119
a3	s139	v20	231
a3	s141	v00	34
a3	s141	v20	67
a3	s142	v00	134
a3	s142	v20	260
a3	s144	v00	189
a3	s144	v20	366
a3	s145	v00	385
a3	s145	v20	745
a3	s147	v00	73
a3	s147	v20	141
a3	s149	v00	294
a3	s149	v20	570
a3	s150	v00	87
a3	s150	v20	169
a3	s153	v00	179
a3	s153	v20	347
a3	s154	v00	116
a3	s154	v20	225
a3	s155	v00	116
a3	s155	v20	224
a3	s156	v00	234
a3	s156	v20	453
a3	s157	v00	36
a3	s157	v20	70
a3	s158	v00	173
a3	s158	v20	334
a3	s159	v00	309
a3	s159	v20	598
a3	s160	v00	326
a3	s160	v20	630
a3	s161	v00	162
a3	s161	v20	313
a3	s162	v00	135
a3	s162	v20	261
a3	s164	v00	221
a3	s164	v20	428
a3	s165	v00	509
a3	s165	v20	985
a3	s167	v00	132
a3	s167	v20	255
a3	s169	v00	241
a3	s169	v20	467
a3	s170	v00	96
a3	s170	v20	186
a3	s171	v00	295
a3	s171	v20	571
a3	s173	v00	285
a3	s173	v20	551
a3	s174	v00	139
a3	s174	v20	269
a3	s175	v00	175
a3	s175	v20	339
a3	s176	v00	179
a3	s176	v20	347
a3	s179	v00	96
a3	s179	v20	185
a3	s181	v00	144
a3	s181	v20	279
a3	s182	v00	496
a3	s182	v20	960
a3	s183	v00	254
a3	s183	v20	491
a3	s184	v00	105
a3	s184	v20	204
a3	s186	v00	179
a3	s186	v20	347
a3	s187	v00	314
a3	s187	v20	608
a3	s188	v00	38
a3	s188	v20	74
