variable,staging,sender,vehicle,patient,scenario,value
x_ij,a1,s039,v00,c,n25,14.0
x_ij,a1,s039,v00,n,n08,79.0
x_ij,a1,s039,v00,n,n09,79.0
x_ij,a1,s039,v00,n,n10,79.0
x_ij,a1,s039,v00,n,n11,79.0
x_ij,a1,s039,v00,n,n12,79.0
x_ij,a1,s039,v00,n,n13,79.0
x_ij,a1,s039,v00,n,n14,79.0
x_ij,a1,s039,v00,n,n15,79.0
x_ij,a1,s039,v00,n,n16,79.0
x_ij,a1,s039,v00,n,n17,79.0
x_ij,a1,s039,v00,n,n18,79.0
x_ij,a1,s039,v00,n,n19,79.0
x_ij,a1,s039,v00,n,n20,79.0
x_ij,a1,s039,v00,n,n21,79.0
x_ij,a1,s039,v00,n,n22,79.0
x_ij,a1,s039,v00,n,n23,79.0
x_ij,a1,s039,v00,n,n24,79.0
x_ij,a1,s039,v00,n,n25,59.0
x_ij,a1,s039,v20,n,n25,1.0
x_ij,a1,s040,v00,n,n15,4.0
x_ij,a1,s040,v00,n,n16,4.0
x_ij,a1,s040,v00,n,n17,4.0
x_ij,a1,s040,v00,n,n18,4.0
x_ij,a1,s040,v00,n,n22,4.0
x_ij,a1,s040,v00,n,n23,4.0
x_ij,a1,s040,v00,n,n24,4.0
x_ij,a1,s043,v00,c,n06,3.0
x_ij,a1,s043,v00,c,n07,3.0
x_ij,a1,s043,v00,c,n08,3.0
x_ij,a1,s043,v00,c,n09,3.0
x_ij,a1,s043,v00,c,n10,3.0
x_ij,a1,s043,v00,c,n11,3.0
x_ij,a1,s043,v00,c,n12,3.0
x_ij,a1,s043,v00,c,n13,3.0
x_ij,a1,s043,v00,c,n14,3.0
x_ij,a1,s043,v00,c,n15,3.0
x_ij,a1,s043,v00,c,n16,3.0
x_ij,a1,s043,v00,c,n17,3.0
x_ij,a1,s043,v00,c,n18,3.0
x_ij,a1,s043,v00,n,n06,19.0
x_ij,a1,s043,v00,n,n07,19.0
x_ij,a1,s043,v00,n,n08,19.0
x_ij,a1,s043,v00,n,n09,19.0
x_ij,a1,s043,v00,n,n10,19.0
x_ij,a1,s043,v00,n,n11,19.0
x_ij,a1,s043,v00,n,n12,19.0
x_ij,a1,s043,v00,n,n13,19.0
x_ij,a1,s043,v00,n,n14,19.0
x_ij,a1,s043,v00,n,n15,19.0
x_ij,a1,s043,v00,n,n16,19.0
x_ij,a1,s043,v00,n,n17,19.0
x_ij,a1,s043,v00,n,n18,19.0
x_ij,a1,s044,v00,c,n24,1.0
x_ij,a1,s044,v00,n,n24,11.0
x_ij,a1,s049,v00,c,n01,38.0
x_ij,a1,s049,v00,c,n02,38.0
x_ij,a1,s049,v00,c,n03,38.0
x_ij,a1,s049,v00,c,n04,38.0
x_ij,a1,s049,v00,c,n05,38.0
x_ij,a1,s049,v00,c,n06,38.0
x_ij,a1,s049,v00,c,n07,38.0
x_ij,a1,s049,v00,c,n08,38.0
x_ij,a1,s049,v00,c,n09,38.0
x_ij,a1,s049,v00,c,n10,38.0
x_ij,a1,s049,v00,c,n11,10.0
x_ij,a1,s049,v00,c,n13,38.0
x_ij,a1,s049,v00,c,n14,38.0
x_ij,a1,s049,v00,c,n15,38.0
x_ij,a1,s049,v00,c,n16,38.0
x_ij,a1,s049,v00,c,n17,38.0
x_ij,a1,s049,v00,c,n18,38.0
x_ij,a1,s049,v00,c,n19,38.0
x_ij,a1,s049,v00,c,n20,38.0
x_ij,a1,s049,v00,c,n21,38.0
x_ij,a1,s049,v00,c,n22,38.0
x_ij,a1,s049,v00,c,n23,38.0
x_ij,a1,s049,v00,c,n24,38.0
x_ij,a1,s049,v00,c,n25,38.0
x_ij,a1,s049,v00,n,n01,11.0
x_ij,a1,s049,v00,n,n02,11.0
x_ij,a1,s049,v00,n,n03,11.0
x_ij,a1,s049,v00,n,n04,11.0
x_ij,a1,s049,v00,n,n05,11.0
x_ij,a1,s049,v00,n,n06,71.0
x_ij,a1,s049,v00,n,n07,71.0
x_ij,a1,s049,v00,n,n08,131.0
x_ij,a1,s049,v00,n,n09,211.0
x_ij,a1,s049,v00,n,n10,211.0
x_ij,a1,s049,v00,n,n11,211.0
x_ij,a1,s049,v00,n,n12,151.0
x_ij,a1,s049,v00,n,n13,211.0
x_ij,a1,s049,v00,n,n14,211.0
x_ij,a1,s049,v00,n,n15,211.0
x_ij,a1,s049,v00,n,n16,211.0
x_ij,a1,s049,v00,n,n17,211.0
x_ij,a1,s049,v00,n,n18,211.0
x_ij,a1,s049,v00,n,n19,171.0
x_ij,a1,s049,v00,n,n20,151.0
x_ij,a1,s049,v00,n,n21,151.0
x_ij,a1,s049,v00,n,n22,171.0
x_ij,a1,s049,v00,n,n23,171.0
x_ij,a1,s049,v00,n,n24,211.0
x_ij,a1,s049,v00,n,n25,11.0
x_ij,a1,s049,v20,n,n01,10.0
x_ij,a1,s049,v20,n,n02,10.0
x_ij,a1,s049,v20,n,n03,10.0
x_ij,a1,s049,v20,n,n04,10.0
x_ij,a1,s049,v20,n,n05,10.0
x_ij,a1,s049,v20,n,n06,7.0
x_ij,a1,s049,v20,n,n07,7.0
x_ij,a1,s049,v20,n,n08,4.0
x_ij,a1,s049,v20,n,n19,2.0
x_ij,a1,s049,v20,n,n20,3.0
x_ij,a1,s049,v20,n,n21,3.0
x_ij,a1,s049,v20,n,n22,2.0
x_ij,a1,s049,v20,n,n23,2.0
x_ij,a1,s049,v20,n,n25,10.0
x_ij,a1,s051,v00,c,n13,2.0
x_ij,a1,s051,v00,c,n14,2.0
x_ij,a1,s051,v00,c,n15,2.0
x_ij,a1,s051,v00,c,n16,2.0
x_ij,a1,s051,v00,c,n17,2.0
x_ij,a1,s051,v00,c,n18,2.0
x_ij,a1,s051,v00,c,n19,2.0
x_ij,a1,s051,v00,c,n20,2.0
x_ij,a1,s051,v00,n,n13,17.0
x_ij,a1,s051,v00,n,n14,17.0
x_ij,a1,s051,v00,n,n15,17.0
x_ij,a1,s051,v00,n,n16,17.0
x_ij,a1,s051,v00,n,n17,17.0
x_ij,a1,s051,v00,n,n18,17.0
x_ij,a1,s051,v00,n,n19,17.0
x_ij,a1,s051,v00,n,n20,17.0
x_ij,a1,s056,v00,n,n17,13.0
x_ij,a1,s056,v00,n,n18,13.0
x_ij,a1,s056,v00,n,n19,13.0
x_ij,a1,s056,v00,n,n20,13.0
x_ij,a1,s056,v00,n,n21,13.0
x_ij,a1,s056,v00,n,n22,13.0
x_ij,a1,s056,v00,n,n23,13.0
x_ij,a1,s056,v00,n,n24,13.0
x_ij,a1,s056,v20,n,n17,4.0
x_ij,a1,s056,v20,n,n18,4.0
x_ij,a1,s056,v20,n,n19,4.0
x_ij,a1,s056,v20,n,n20,4.0
x_ij,a1,s056,v20,n,n21,4.0
x_ij,a1,s056,v20,n,n22,4.0
x_ij,a1,s056,v20,n,n23,4.0
x_ij,a1,s056,v20,n,n24,4.0
x_ij,a1,s057,v00,n,n22,7.0
x_ij,a1,s057,v00,n,n23,7.0
x_ij,a1,s057,v00,n,n24,7.0
x_ij,a1,s057,v20,n,n22,1.0
x_ij,a1,s057,v20,n,n23,1.0
x_ij,a1,s057,v20,n,n24,1.0
x_ij,a1,s058,v00,n,n14,13.0
x_ij,a1,s059,v00,n,n14,85.0
x_ij,a1,s059,v00,n,n15,85.0
