,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
390,a1,s104,r364,a1,v00,n,n06,4
391,a1,s127,r227,a1,v00,n,n06,4
392,a1,s268,r422,a1,v00,n,n06,4
393,a1,s312,r493,a1,v00,n,n06,4
394,a1,s175,r310,a1,v00,n,n06,3
395,a1,s024,r061,a1,v00,n,n06,2
396,a1,s049,r016,a1,v00,c,n07,38
397,a1,s049,r016,a1,v20,n,n07,10
398,a1,s049,r016,a1,v00,n,n07,11
399,a1,s054,r025,a1,v00,c,n07,23
400,a1,s054,r025,a1,v20,n,n07,6
401,a1,s054,r025,a1,v00,n,n07,9
402,a1,s170,r277,a1,v00,n,n07,98
403,a1,s170,r195,a1,v00,n,n07,54
404,a1,s053,r011,a1,v00,c,n07,22
405,a1,s053,r011,a1,v00,n,n07,128
406,a1,s120,r272,a1,v00,n,n07,51
407,a1,s120,r301,a1,v00,n,n07,20
408,a1,s120,r213,a1,v00,n,n07,39
409,a1,s120,r149,a1,v00,n,n07,17
410,a1,s196,r236,a1,v00,n,n07,64
411,a1,s196,r190,a1,v00,n,n07,48
412,a1,s196,r230,a1,v00,n,n07,15
413,a1,s308,r506,a1,v00,n,n07,69
414,a1,s308,r502,a1,v00,n,n07,58
415,a1,s139,r203,a1,v00,n,n07,60
416,a1,s139,r300,a1,v00,n,n07,56
417,a1,s139,r360,a1,v00,n,n07,6
418,a1,s096,r276,a1,v00,n,n07,39
419,a1,s096,r343,a1,v00,n,n07,26
420,a1,s096,r232,a1,v00,n,n07,45
421,a1,s096,r245,a1,v00,n,n07,8
422,a1,s066,r149,a1,v00,n,n07,62
423,a1,s066,r174,a1,v00,n,n07,40
424,a1,s072,r249,a1,v00,n,n07,52
425,a1,s072,r309,a1,v00,n,n07,50
426,a1,s278,r177,a1,v00,n,n07,52
427,a1,s278,r360,a1,v00,n,n07,50
428,a1,s307,r436,a1,v00,n,n07,69
429,a1,s307,r230,a1,v00,n,n07,33
430,a1,s117,r391,a1,v00,n,n07,39
431,a1,s117,r245,a1,v00,n,n07,35
432,a1,s117,r322,a1,v00,n,n07,26
433,a1,s252,r228,a1,v00,n,n07,44
434,a1,s252,r369,a1,v00,n,n07,27
435,a1,s252,r131,a1,v00,n,n07,22
436,a1,s020,r024,a1,v00,c,n07,13
437,a1,s020,r024,a1,v00,n,n07,76
438,a1,s088,r161,a1,v00,n,n07,39
439,a1,s088,r246,a1,v00,n,n07,44
440,a1,s088,r302,a1,v00,n,n07,4
441,a1,s204,r229,a1,v00,n,n07,30
442,a1,s204,r361,a1,v00,n,n07,8
443,a1,s204,r273,a1,v00,n,n07,38
444,a1,s204,r367,a1,v00,n,n07,9
445,a1,s106,r185,a1,v00,n,n07,36
446,a1,s106,r302,a1,v00,n,n07,36
447,a1,s106,r371,a1,v00,n,n07,12
448,a1,s108,r323,a1,v00,n,n07,39
449,a1,s108,r205,a1,v00,n,n07,34
450,a1,s108,r386,a1,v00,n,n07,8
451,a1,s132,r350,a1,v00,n,n07,41
452,a1,s132,r237,a1,v00,n,n07,40
453,a1,s144,r235,a1,v00,n,n07,15
454,a1,s144,r329,a1,v00,n,n07,18
455,a1,s144,r178,a1,v00,n,n07,23
456,a1,s144,r308,a1,v00,n,n07,8
457,a1,s144,r290,a1,v00,n,n07,17
458,a1,s306,r499,a1,v00,n,n07,48
459,a1,s306,r482,a1,v00,n,n07,33
460,a1,s256,r140,a1,v00,n,n07,46
461,a1,s256,r191,a1,v00,n,n07,34
462,a1,s018,r027,a1,v00,c,n07,11
463,a1,s018,r027,a1,v00,n,n07,66
464,a1,s080,r160,a1,v00,n,n07,30
465,a1,s080,r317,a1,v00,n,n07,42
466,a1,s080,r154,a1,v00,n,n07,4
467,a1,s098,r223,a1,v00,n,n07,40
468,a1,s098,r264,a1,v00,n,n07,36
469,a1,s311,r501,a1,v00,n,n07,45
470,a1,s311,r519,a1,v00,n,n07,29
471,a1,s077,r154,a1,v00,n,n07,34
472,a1,s077,r325,a1,v00,n,n07,39
473,a1,s134,r336,a1,v00,n,n07,43
474,a1,s134,r385,a1,v00,n,n07,28
475,a1,s076,r384,a1,v00,n,n07,23
476,a1,s076,r311,a1,v00,n,n07,40
477,a1,s076,r252,a1,v00,n,n07,2
478,a1,s174,r252,a1,v00,n,n07,21
479,a1,s174,r398,a1,v00,n,n07,15
480,a1,s174,r260,a1,v00,n,n07,16
481,a1,s174,r371,a1,v00,n,n07,9
482,a1,s075,r153,a1,v00,n,n07,20
483,a1,s075,r131,a1,v00,n,n07,18
484,a1,s075,r316,a1,v00,n,n07,21
485,a1,s086,r128,a1,v00,n,n07,40
486,a1,s086,r139,a1,v00,n,n07,7
487,a1,s302,r324,a1,v00,n,n07,40
488,a1,s302,r293,a1,v00,n,n07,6
489,a1,s124,r393,a1,v00,n,n07,9
490,a1,s124,r283,a1,v00,n,n07,8
491,a1,s124,r367,a1,v00,n,n07,7
492,a1,s124,r212,a1,v00,n,n07,19
493,a1,s158,r206,a1,v00,n,n07,39
494,a1,s158,r211,a1,v00,n,n07,1
495,a1,s027,r025,a1,v00,c,n07,5
496,a1,s027,r025,a1,v00,n,n07,34
497,a1,s065,r467,a1,v00,n,n07,38
498,a1,s006,r061,a1,v00,c,n07,5
499,a1,s006,r061,a1,v00,n,n07,28
500,a1,s022,r029,a1,v00,c,n07,4
501,a1,s022,r029,a1,v00,n,n07,28
502,a1,s087,r469,a1,v00,n,n07,29
503,a1,s043,r061,a1,v00,c,n07,3
504,a1,s043,r061,a1,v00,n,n07,19
505,a1,s207,r368,a1,v00,n,n07,20
